comment,label
equal choices not equal opportunities,NOT
finally im not the only one who thinks the same,NOT
they also don't count industries where women make more per hour than men.,NOT
woman loses and starts a petition fucking sore loser ahahaha,ABU
there's no problem here the women only earn less on average because of decisions they make for themselves to say that there is a problem is more sexist than claiming there's a wage gap because you're saying women should be working the higher paying jobs like the men instead of doing what they want,NOT
this is unfair i do the shot put in track and field and i can't imagine competing against a transgender women with the build and strengths of a man i have no problem against transgenders but there's a line for sports females cannot physical compete for strength or muscle build with male build it's why the sport is split by gender.,ABU
i see two solutions to this problem wage increases for lower-income jobs encourage women to take up ceo and political positions and ask for raises more it's well-known that women are not as interested on average in ceo and political positions as men that is why it's fair that women make up 5 of politicians because about 5 of the people running for office are women if this has to do with their upbringing then this can be fixed but if this is just because women on average don't want those jobs then the only solution is to raise the wages on lower-income jobs also i find it ironic that women in the us are the majority of people going to and graduating from college yet they're still under represented in higher income positions.,NOT
i am going to trigger everyone i meet at school with this info.,NOT
joaquin phoenix is such a vegan king i love him so much,NOT
lol i love that there are more dislikes than likes.,NOT
unfair period it's ok to identify as a women but at the end of the day they are physically boys i would not allow my daughter to compete with them period not because they are transgender simply because like you heard on the video doctors do not even know exactly how the hormones are affecting their bodies its sad that those girls who trained hard and work hard to get to that point and they were cheated period we just live in world that allows people to make whatever decisions they want and they want to be treat the same as everyone else but in this cases they are not like most regular girl they have an unfair advantage i bet if it was a more physical sport that like wrestling or soccer everyone would feel differently cause people would be able to see the obvious difference and advantage and strength and some case size i mean i get it we want them to feel normal but did anyone think the girls are being robbed of a experience as well.,NOT
absolutely unfair but who cares about the biological girls that train hard for this but can't outrun biology.,ABU
good work all of your and thank you for all you do,NOT
what is her email i need to reach out to her i need help going vegan,NOT
i love how shes talking about being transgender and eating chick-fil-a at the same time.,NOT
"""do i think i'm a transgender yes a thousand  do i identify with my natural born gender a thousand  that's kinda the thing with being transgender..you don't identify with your biological gender this is the whole point you don't like your breasts you don't like your curves and the term they/them has nothing to do with being transgender most people who use the pronouns they/them do not identify with either the female pronouns she/her nor the male pronouns he/him"" i'm not saying that transgender people can not identify with they/them i'm saying that it doesn't have anything to do with transgender.",NOT
didn't you say you thought you were black too what's next you gonna think you are a horse trapped in a trans man gay black female ,ABU
that chair looks extremely uncomfortable,NOT
'chef is definitely not a job with flexible hours.. that being said i really enjoyed this video thanks vox!,NOT
the left treat facts like kryptonite this is a great video i can't help but feel sorrow in the fact that because this video is so strong in facts it makes it stronger to be rejected because leftists treat facts and truth like repellant.,NOT
i'm part of extinction rebellion mallorca best move i ever done if you doubt it just join because its a incredible move and to the people that are negative just start eating lemon grass and bee positive because this is the move and there's no going back quit eating flesh think about animals eating you would you like it i don't think so well its the same with the animals and humans eating them viva extinction rebellion,NOT
yay i'm so happy for you trish pasta is the best just eat a lot of it and eat a lot of fruits and vegetables and it'll keep you full for a while,NOT
check out hot for food on you tube all vegan all amazing ,NOT
i think some of the gap can be down to how well men women negotiate i have a totally awesome strong female friend who recently negotiated salary for a new position and she just couldn't push hard on the salary the employer played it down in the range and my friend took the middle ground her skills are awesome and she's an absolute dream asset in her field but she just wouldn't push for the top end money i think guys are more likely to do that.,NOT
the weird thing is if you really got to pay women less than men even if they had the same amount of experience work productivity etc. there would be companies willing to hire way more women than men cheaper labor.. also you never hear the companies that are supposedly paying women so much less than men why because it doesn't really exist again men generally choose fields that pay more than fields that are dominated by women men and women simply make different career choices because shockingly men and women are different.,NOT
try your coffee with soy milk or almond milk its amazing,NOT
