tweet,label,sw_count,len_tweet,asterisk
 she should ask a few native americans what their take on this is.,NOTABU,0,66,0
 go home you’re drunk!! maga trump202 🇺🇸 url,NOTABU,0,44,0
amazon is investigating chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace url amazon maga kag china tcot,NOTABU,0,176,0
" someone should'vetaken this piece of shit to a volcano """,NOTABU,1,57,0
 obama wanted liberals amp illegals to move into red states,NOTABU,0,59,0
 liberals are all kookoo !!,EXP,0,27,0
 oh noes tough shit.,NOTABU,0,20,0
 was literally just talking about this lol all mass shootings like that have been set ups it’s propaganda used to divide us on major issues like gun control and terrorism,IMP,0,170,0
 buy more icecream!!!,NOTABU,0,21,0
 canada doesn’t need another cuck we already have enough looneyleft liberals f**king up our great country qproofs trudeaumustgo,EXP,0,127,1
 it’s not my fault you support gun control,NOTABU,0,42,0
 what’s the difference between kavanaugh and one of these men admitted to groping a  year old girl years ago the other is going to be confirmed to the scj demsarefrauds demsaredone walkawaydemocrats201 redwave voteredsaveamerica trumptrain maga url,NOTABU,0,248,0
 you are a lying corrupt traitor!! nobody wants to hear anymore of your lies!! deepstatecorruption url,EXP,1,102,0
 it should scare every american she is playing hockey with a warped puck!,NOTABU,1,73,0
     i like my soda like i like my boarders with a lot of ice.,NOTABU,0,62,0
 you are also the king of taste,NOTABU,0,31,0
maga sing like no one is listening ♥ love like you've never been hurt ✔ vote gop when no one is watching and don't listen to liberals dirt url,NOTABU,0,142,0
"5/5 the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason. guncontrol cdnpoli cdnhist""",NOTABU,0,186,0
 besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show ,NOTABU,0,105,0
 gun control that is all these kids are asking for!,NOTABU,0,51,0
 lol!! throwing the bullshit flag on such nonsense! putuporshutup kavanaugh maga callthevotealready url,EXP,1,103,0
 you are correct.,NOTABU,0,17,0
 kind of like when conservatives wanna associate everyone to their left as communist antifa members?,IMP,0,100,0
 da fuck is going on people there's the men's room and the women's room pick one and stick w it ,NOTABU,1,96,0
 been a willie fan since before most of you were born....love that he is holding a rally with beto... exactly which fans are furious could you give some specifics url,NOTABU,1,166,0
 tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,EXP,0,114,0
"south korean official leaders will discuss specific denuke measures in pyongyang” url tcot maga rednationrising""",NOTABU,0,112,0
 you can tell he is a hooper too,NOTABU,0,32,0
 i feel like he is better chasing the title,NOTABU,0,43,0
 she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn’t bash them she has a positive message so who is dividing the left?,IMP,2,255,0
 glad to see your friends are supporting metis rights as much as you are supporting zionists url,NOTABU,0,96,0
 yes you are but i was asking what is it about the movie 🤷‍♂️👀,NOTABU,0,62,0
the only thing the democrats have is lying and stalling to stop trump from being president what have they done for you lately trump kavanaugh maga demsuck,EXP,1,154,0
 no wonder he is being apologetic and more social these day....,NOTABU,0,63,0
 any updates re ending your blatant racism as windrush amp grenfell proves you are alloutpolitics politicslive pmqs url,NOTABU,1,119,0
  do you know what’s going to happen now i’m going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech antifa.,NOTABU,0,140,0
     you are not very smart are you why do you think gen flynn’s sentencing keeps being rescheduled url,EXP,0,103,0
 that's expected if you placate the violent leftists/terrorists kavanaughconfirmation woke,EXP,0,90,0
 blow hard,NOTABU,0,10,0
 that means you are a max lvl twitter user and maybe should try a new game,NOTABU,0,74,0
" please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he's even more racist and exclusionary than they want to be.""",NOTABU,0,186,0
 socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem.,NOTABU,1,156,0
3 nina one of the reasons i didn't read this book for so long was because i was so worried about her character i should've trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect.,NOTABU,0,266,0
 please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,NOTABU,1,197,0
" ppl who say i'm not racist are racist you are a racist repeat after me""",NOTABU,0,72,0
 kathy the patriot you have to love our great president trump!! a spine of u.s steel! changing it on trade amp everything for americans! americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa 🗽 ,NOTABU,0,242,0
 wow you liberals really don’t have a sense of humor.🙄,NOTABU,0,54,0
 i'm so fucking ready,NOTABU,1,21,0
 holy moly! if the catholic people haven't been awakened by this ... falseprophet lunatic,NOTABU,1,89,0
 lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOTABU,0,120,0
 what a surprise... same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but it's not gunna happen.,NOTABU,0,202,0
 me too her wedding was the best she is very pretty!,NOTABU,0,52,0
 no conflict here—don’t look at this soros involved in violent left agenda of antifa also.,NOTABU,0,90,0
 url any of your announcements every come to fruition or is it basically stealing labour's ideas to get a few more votes,NOTABU,0,120,0
 out of  british people are basically full-on racists out of  voters vote for the conservatives coincidence!???!???,IMP,0,115,0
guncontrol advocates must stop falling all over themselves to assure electorate that they too love the horrific a url,NOTABU,1,117,0
 hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material?,NOTABU,0,139,0
 fuck off,EXP,1,9,0
 certainly a weird view toward the margaret sanger geonicidal philosophy of aborting minorities i’d like to know if the black population that suffers the most shares her opinion,NOTABU,1,177,0
" the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like 0 inmates went missing""""",IMP,1,206,0
 she is useless attempts to do the right thing but never follows through.,EXP,1,73,0
walkaway liberals......your party is poison url,NOTABU,0,47,0
 grateful trump doesn’t have a dog in the white house he is a cruel man.,EXP,1,72,0
 you are lying stick with the facts we pay more than that now.,NOTABU,1,62,0
 trump kicks dem butt its so fun.,NOTABU,0,33,0
 he is dumb and dumber all in one president it's a two for one.,EXP,1,63,0
toxictory minister attempted to expense 5 charity donation it's what do! toriesmustgo dissolvetheunion url,NOTABU,0,106,0
 ur so straight forword man i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior artist love for manmarziyaan 👍,NOTABU,1,211,0
 and this from the clown that should be in prison?,IMP,0,50,0
 did twitter silence alex jones in retaliation of him asking twitter jack questions url,NOTABU,0,87,0
 thats because you are an old man.,NOTABU,0,34,0
 they are obstructionists anti-american pharisees ask them what they are running on and you get nothing maga!,EXP,0,109,0
" no you're not..you're here represent the alinskyite orwellian leftist tool&amp;fool view on things..like 9.9 of the marxists&amp;antifa similar u..psst and b4u use the words fascist or fascism again go ahead amp read d'souza's book the big lie""..right now u know squat about either..""",NOTABU,1,285,0
" i do remember  but somehow centrist antifa-haters can never quite seem to bring themselves to condemn such things.""",NOTABU,0,116,0
 i mean it worked for gun control right url,NOTABU,0,43,0
 i think the last thing on the wh or trump's mind is april ryan she needs to stop flattering herself she's not as important as she thinks she is.,NOTABU,0,145,0
 principled conservatives are hypocrickets,NOTABU,0,42,0
  don't forget &amp democrat backed antifa,NOTABU,0,42,0
 she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real ️,NOTABU,0,143,0
 bring out his antifa criminal son to campaign for him,NOTABU,0,54,0
 i didn’t watch and will not watch watching the september 1th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a saturday.,NOTABU,1,254,0
a tear is made of  water and 9 feelings.,NOTABU,0,40,0
 trump addresses gun control representing the nra i will not let you down he says url,NOTABU,0,85,0
 she is drinking so much koolaid she’s bloated.,NOTABU,0,47,0
 holder needs to be prosecuted,NOTABU,0,30,0
 but.. but.. both players were women and both were women of color!,NOTABU,1,66,0
 the institution only let her tweet when she behaves she is a window licker!!!!,EXP,0,79,0
babysitting kids people:”how old do you think she is? she has three kids me:*dont get mad don’t get mad they don’t know they don’t know,NOTABU,0,135,1
 well... url,NOTABU,0,12,0
wtc this is a threat!!  maga qanon wakeupamerica url,NOTABU,0,52,0
" it's easily digestible content there's no need for nuance or to even understand the story they can show a picture of an antifa and get the base level emotional response their content requires in order to be profitable.""",NOTABU,0,220,0
 try looking for plain old democrats the liberals are the ones which you can’t have a conversation with.,NOTABU,0,104,0
 great news old moonbeam just went into a coma ,NOTABU,0,47,0
 omg he is so extra ily,NOTABU,0,23,0
 please call trump out for what he is...a narcissistic sociopath!,EXP,1,65,0
 unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups.,NOTABU,0,126,0
 i know she is still alive....but wondering if her career was railroaded odd loved her...especially that day!,NOTABU,0,109,0
 guy you are always present...bet why lol,NOTABU,0,41,0
 what a baby url,NOTABU,0,16,0
 you are very persuasive fam,NOTABU,0,28,0
 that's nothing new she was going to vote no anyway.....we will vote no to liberals in november... url,NOTABU,0,102,0
 burt a cool dude.,NOTABU,0,18,0
maga if you are all in for trump follow me and i will follow back.,NOTABU,0,66,0
 thank u! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOTABU,0,90,0
 kind of like what trump does all the time huh?,NOTABU,0,47,0
 because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOTABU,0,122,0
 fuck em,EXP,1,8,0
 good move....he is the big loser,EXP,0,33,0
 let's get to the bottom of this dm me your zipcode and i'll check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap nevinbruce,NOTABU,0,176,0
 for the record i know doug jones personally and he is only a sen bc we had no other credible choice he won’t be at the next election.,NOTABU,1,134,0
 the president’s feelings are totally opposite of cnn’s feelings so what does that say about cnn they’re all liberals.,NOTABU,0,118,0
" it's literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin. noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash""",NOTABU,1,275,0
 there are many dumb arguments for gun control but this may be the dumbest and most common.,EXP,1,91,0
 she is idk what's going on,NOTABU,0,27,0
 yall need to chill he is having a really abysmal nd half rizzo had an abysmal st half its baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes.... but he could bounce back at anytime url,NOTABU,2,238,0
 dude you are old!! lmao ps go pack go!!!,NOTABU,0,41,0
     that's why trump supporters can't even wear a hat without being abused if they meet the animals on the left attack them antifa is a branch of the communist-socialist-nazis democrat party.,NOTABU,0,192,0
 the laughs i’ve gotten from you are enough ,NOTABU,0,44,0
 well?,NOTABU,0,6,0
 first of all they don’t even have pizza at panera,NOTABU,0,50,0
 please don't kill me antifa on the other hand...,NOTABU,0,49,0
 did you see shanahan say spoon was not 00 healthy this game obviously no excuses if you’re out there but maybe it’s not the all is doom sort of thing it seemed during the game maybe he is still pretty good.,NOTABU,0,207,0
 good girl ,NOTABU,0,11,0
 she is an ugly black hearted troll url,EXP,1,39,0
 you are clearly not a pokemon master i have almost 0 in rare candy alone over 5 legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game.,NOTABU,0,201,0
 dont believe the hype.,NOTABU,0,23,0
  followed all new maga please follow back.,NOTABU,0,43,0
protests reported in sunderland except these are football fan and one flag says westbrom on it? getting worse now even as i type? maga mega mbga mcga conservatives patriots muslims farleft leftists doomed to lose but do not realises it civilwar soon url,NOTABU,0,253,0
" liberals would still vote for him they'll claim his comments were taken out of context and that he is still a man of integrity.""""",NOTABU,1,130,0
 we have been saved from you maga!,NOTABU,0,34,0
 you are bringing up honor and decency with that yoyo in the picture that's rich.,NOTABU,0,81,0
 good riddance.,NOTABU,0,15,0
 she is a goddess,NOTABU,0,17,0
" omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing... and the rest standin there like ....nope he is no suffering so he is dead! ...yeah pretty dead""""",NOTABU,0,234,0
" you can probably imagine all the sjw snowflakes that don't feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskies of the 1st century.""",NOTABU,0,190,0
 i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory partyvery soon!,NOTABU,0,149,0
 this all i get damn these haters deleting you ig for no reason.. url,NOTABU,1,69,0
 do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us?,NOTABU,0,119,0
 you warned everyone about josh gordon the last months on a daily basis i'm sure you are as shocked as i am of what transpired today.,NOTABU,0,133,0
 why can't liberals read????? read it again url,NOTABU,0,47,0
 sjshsj thats my job bitch,NOTABU,1,26,0
 do they discuss haiti?,NOTABU,0,23,0
 what part of no collusion don't you get?? this is why you are a dumocrat,EXP,0,73,0
 he is very skilled😂😂,NOTABU,0,21,0
 you are amazing 💛💛,NOTABU,0,19,0
 fist pump was for the troops.,NOTABU,0,30,0
" if the reason for farakans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters!""",IMP,1,201,0
 let the leftist democrats riot in the streets with their antifa counterparts.,NOTABU,0,78,0
 i thought canada had strict gun control help me understand what is happening.,NOTABU,1,78,0
 they don’t want you following people because they don’t like conservatives sickening how biased twitter’s management is twitterleftbias,NOTABU,1,136,0
 he is doing life tho😑,NOTABU,0,22,0
 it's so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them which as you know is so false how can the word spread even more to those who need to know maga naacp,NOTABU,0,249,0
 antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached.,IMP,0,126,0
 have you seen or listened to your antifa pals?,NOTABU,0,47,0
 in case of antifa take a little bat or something good for you more of should do that kind of thing.,NOTABU,0,100,0
 your titles scare me a little bit -),NOTABU,0,37,0
 gt;eradicating hiv and malaria in the middle of africa good bloody luck,NOTABU,0,72,0
